store_code,shelf_code,sku,product_name,category_code,actual_stock,counted_at,jan_code,book_stock,unit,cost_price,selling_price
DEMO-STORE-ENTRY-001,Shelf_05,REAL-SKU-0021,歯ブラシ,CAT_05,30,2026-09-08 10:00,4901234700021,30,個,,
DEMO-STORE-ENTRY-001,Shelf_05,REAL-SKU-0022,歯磨き用品,CAT_05,18,2026-09-08 10:00,4901234700022,18,個,,
DEMO-STORE-ENTRY-001,Shelf_05,REAL-SKU-0023,不織布マスク,CAT_05,0,2026-09-08 10:00,4901234700023,5,個,,
DEMO-STORE-ENTRY-001,Shelf_05,REAL-SKU-0024,綿棒,CAT_05,35,2026-09-08 10:00,4901234700024,35,個,,
DEMO-STORE-ENTRY-001,Shelf_05,REAL-SKU-0025,ウェットティッシュ,CAT_05,22,2026-09-08 10:00,4901234700025,22,個,,
DEMO-STORE-ENTRY-001,Shelf_06,REAL-SKU-0026,衣類圧縮袋,CAT_06,14,2026-09-08 10:00,4901234700026,14,個,,
DEMO-STORE-ENTRY-001,Shelf_06,REAL-SKU-0027,トラベルポーチ,CAT_06,9,2026-09-08 10:00,4901234700027,9,個,,
DEMO-STORE-ENTRY-001,Shelf_06,REAL-SKU-0028,携帯用ボトル,CAT_06,17,2026-09-08 10:00,4901234700028,17,個,,
DEMO-STORE-ENTRY-001,Shelf_06,REAL-SKU-0029,ネックピロー,CAT_06,6,2026-09-08 10:00,4901234700029,6,個,,
DEMO-STORE-ENTRY-001,Shelf_06,REAL-SKU-0030,小物収納ケース,CAT_06,11,2026-09-08 10:00,4901234700030,11,個,,
DEMO-STORE-ENTRY-001,Shelf_07,REAL-SKU-0031,掃除用ブラシ,CAT_07,13,2026-09-08 10:00,4901234700031,13,個,,
DEMO-STORE-ENTRY-001,Shelf_07,REAL-SKU-0032,マイクロファイバークロス,CAT_07,24,2026-09-08 10:00,4901234700032,24,個,,
DEMO-STORE-ENTRY-001,Shelf_07,REAL-SKU-0033,メラミンスポンジ,CAT_07,30,2026-09-08 10:00,4901234700033,30,個,,
DEMO-STORE-ENTRY-001,Shelf_07,REAL-SKU-0034,粘着クリーナー,CAT_07,8,2026-09-08 10:00,4901234700034,8,個,,
DEMO-STORE-ENTRY-001,Shelf_07,REAL-SKU-0035,ごみ袋,CAT_07,45,2026-09-08 10:00,4901234700035,45,個,,
DEMO-STORE-ENTRY-001,Shelf_08,REAL-SKU-0036,小皿,CAT_08,16,2026-09-08 10:00,4901234700036,16,個,,
DEMO-STORE-ENTRY-001,Shelf_08,REAL-SKU-0037,保存容器,CAT_08,19,2026-09-08 10:00,4901234700037,19,個,,
DEMO-STORE-ENTRY-001,Shelf_08,REAL-SKU-0038,キッチンスポンジ,CAT_08,27,2026-09-08 10:00,4901234700038,27,個,,
DEMO-STORE-ENTRY-001,Shelf_08,REAL-SKU-0039,食品用ラップ,CAT_08,12,2026-09-08 10:00,4901234700039,12,個,,
DEMO-STORE-ENTRY-001,Shelf_08,REAL-SKU-0040,計量スプーン,CAT_08,21,2026-09-08 10:00,4901234700040,21,個,,
